Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
2	51826061.8	1061924.8612786594	72646620.2	509638.3955298109	71229273.2	817427.1531853466	71143461.6	572388.0191332625	75641211.6	500089.98634175834
4	51622982.4	998984.6155501094	72162491.8	1252323.2925126404	71462841.0	1004641.0901364228	71652177.4	435720.4700014678	74965052.2	830677.1252151463
8	51761424.4	426031.2649927233	72415612.4	427825.6472236091	71040681.6	894143.0948462891	71300422.6	892185.9420262683	75235573.4	840014.2506007265
10	51180220.0	635547.2219501081	72320743.6	814317.2598989292	71575463.8	610455.1466546907	71381906.8	964561.071162267	74906305.2	968581.3168013825
16	51296413.6	405573.41564727837	72622389.4	664341.8347780757	71454667.2	605011.6149874314	71277120.4	300313.5908900894	75431866.0	827610.8004346004
20	51518831.0	551773.0558572066	68122051.2	2730377.7919133645	70300574.2	1468040.6496455404	71504789.8	572795.7123352968	74792903.8	626020.0841991414
32	50051250.2	1006149.2734051443	67629243.0	2523438.1860710396	72084945.6	409100.40325670666	71890178.6	390452.0304413847	74382650.6	1155472.296349549
40	50745393.0	1042758.6054449514	69289379.0	508354.33657931944	73439959.0	230689.4094144766	73337833.6	235894.22425379558	72379576.8	757482.207946959
64	50085989.0	434676.2289854369	69794850.6	370040.6988248725	72833387.4	175302.5985982524	72465491.6	266272.903845472	71780299.0	637221.8445416008
80	49292787.2	656059.5983035383	69348446.4	252382.46979396173	72857774.0	411965.98056210903	72760617.0	471747.1315736853	71639452.2	443314.80030470446
128	48809801.6	659339.2385618347	67723084.2	2390464.2508822843	72217391.2	175399.01916401926	71966209.4	666237.1668319773	69213513.2	6290012.2665304635
150	48951407.8	247054.55588938246	70496527.0	1590000.1609427591	72627944.8	696360.8525525398	72532989.8	653846.8300192332	66177444.2	3213664.8548457413
256	48277850.8	984280.7562607328	70517949.4	399248.4611094951	73887007.0	484635.0151877184	74163930.0	187332.55710233605	67952076.4	5831633.690596598
220	48160755.0	851720.1975599147	70683001.0	347497.55542161735	71564405.8	939878.0009975763	71243670.6	733163.4294652864	66470585.0	4809164.173840398
512	48348957.4	54011.23058494409	26480062.2	638522.7233370007	79075644.8	230525.8985725899	79362040.4	283811.93342828273	62836500.2	1778116.8132180462
640	46681543.8	1557458.1343948543	25450008.2	679109.7731487893	73170489.2	373278.2475187913	73226658.8	426397.30062783	47301466.0	397892.1217497275
1024	48234298.6	583506.8231150344	24545517.4	785041.0886216721	84238261.0	646798.1568569131	83769151.2	1120339.6755168496	47010702.0	631361.1173369802
1280	48372024.8	375771.3065166099	23031302.2	825946.1065394643	76885338.8	298718.80498756684	75930697.8	868365.0310144346	27095761.8	187693.21043181076
2048	48135576.8	306905.181930348	23463832.4	531031.926559788	81147826.8	1729453.9041069294	81710012.8	690051.3367197401	27128307.2	148688.85973131948
